State,Year,TotalC,TotalP,TotalE,TotalPrice,BiomassC,CoalC,CoalP,CoalE,CoalPrice,ElecC,ElecE,ElecPrice,FossFuelC,GeoC,GeoP,HydroC,HydroP,NatGasC,NatGasE,NatGasPrice,LPGC,LPGE,LPGPrice,GDP,POPESTIMATE
Kentucky,2011,1903208.0,2840858.0,23231.2,20.57,51474.0,1010623.0,2623804.0,2466.4,2.44,305505.0,6339.0,21.1,1846216.0,2700.0,0.0,28850.0,2969.0,229056.0,1421.7,7.05,32032.0,810.0,25.61,172255.25,4370038.0
Kentucky,2012,1868483.0,2391118.0,22535.8,20.79,49735.0,909705.0,2193276.0,2249.3,2.47,303833.0,6377.6,21.37,1735259.0,2712.0,0.0,22475.0,2362.0,232702.0,1191.5,5.71,32072.0,685.1,21.62,178209.75,4383465.0
Kentucky,2013,1838898.0,2138426.0,22805.3,20.88,55168.0,914774.0,1940060.0,2199.9,2.4,289214.0,6471.4,22.58,1737960.0,2712.0,0.0,31249.0,3275.0,236423.0,1418.0,6.65,48525.0,1091.1,22.52,182696.25,4399583.0
Kentucky,2014,1770741.0,2055121.0,22467.0,20.75,57195.0,913452.0,1869335.0,2177.9,2.38,268998.0,6378.5,23.96,1754132.0,2712.0,0.0,29895.0,3144.0,261233.0,1762.4,7.4,36157.0,950.1,26.58,188518.0,4413457.0
Louisiana,2010,4385758.0,3170742.0,44999.5,15.06,112227.0,259750.0,54346.0,622.7,2.4,290292.0,6435.6,23.12,3974821.0,1708.0,0.0,10817.0,1109.0,1483201.0,5515.0,5.02,489633.0,8201.9,16.76,231371.5,4545581.0
Louisiana,2011,4388867.0,3972994.0,53391.3,17.96,113514.0,269993.0,52440.0,720.4,2.67,294691.0,6425.6,22.76,4015581.0,1891.0,0.0,10144.0,1044.0,1536147.0,5158.3,4.59,516784.0,10736.4,20.79,236958.25,4575972.0
Louisiana,2012,4255161.0,3789540.0,44310.8,15.46,113460.0,238811.0,53041.0,691.8,2.9,289101.0,5675.3,20.49,3886754.0,1842.0,0.0,6470.0,680.0,1586439.0,3929.7,3.27,565869.0,8111.2,14.35,243308.75,4604744.0
Louisiana,2013,4196622.0,3208044.0,44637.9,15.67,125789.0,228055.0,38079.0,666.9,2.92,292777.0,6349.7,24.3,3785289.0,1842.0,0.0,9966.0,1045.0,1499625.0,4729.4,4.19,613368.0,8491.7,13.86,238308.25,4629284.0
Louisiana,2014,4279443.0,2852411.0,45399.7,15.49,144404.0,209973.0,35541.0,626.6,2.98,309224.0,6777.8,24.4,3810396.0,1842.0,0.0,10366.0,1090.0,1563857.0,5792.4,4.9,617916.0,9278.9,15.03,245790.75,4649676.0
Maine,2010,415065.0,151940.0,6340.6,18.77,114477.0,2279.0,0.0,8.7,3.82,39346.0,1480.8,37.64,277354.0,70.0,0.0,37174.0,3810.0,80988.0,624.0,7.88,10859.0,294.4,27.12,51304.25,1327361.0
Maine,2011,413893.0,154764.0,7425.8,21.93,113899.0,1542.0,0.0,6.5,4.2,38949.0,1435.8,36.86,268118.0,68.0,0.0,38660.0,3979.0,75061.0,569.2,7.84,10996.0,332.0,30.19,51480.75,1327930.0
Maine,2012,399670.0,152331.0,7164.0,22.03,113103.0,1299.0,0.0,6.1,4.69,39446.0,1365.7,34.62,244896.0,72.0,0.0,35519.0,3733.0,70451.0,530.9,7.62,10825.0,327.6,30.27,52606.0,1328592.0
Maine,2013,409785.0,155380.0,7512.4,21.86,116850.0,1657.0,0.0,8.1,4.87,40449.0,1405.7,34.75,253371.0,72.0,0.0,33970.0,3560.0,66014.0,590.9,9.07,13201.0,382.6,28.98,53299.75,1328702.0
Maine,2014,410530.0,151257.0,7557.6,22.62,111979.0,2142.0,0.0,10.5,4.89,40953.0,1518.4,37.08,252829.0,72.0,0.0,34457.0,3623.0,62355.0,623.1,10.21,12801.0,410.8,32.09,55029.0,1330089.0
Maryland,2010,1464503.0,250812.0,21401.3,22.83,51683.0,266067.0,58798.0,894.1,3.36,222925.0,8301.0,37.24,963419.0,548.0,0.0,16267.0,1667.0,217744.0,2099.6,9.94,13030.0,386.6,29.67,314470.5,5788101.0
Maryland,2011,1410012.0,272882.0,23062.5,25.51,49917.0,241190.0,65871.0,881.3,3.65,217002.0,7590.5,34.98,900614.0,532.0,0.0,24748.0,2547.0,199223.0,1935.3,10.03,12743.0,425.4,33.38,323942.5,5843833.0
Maryland,2012,1368600.0,245197.0,22470.7,25.75,49822.0,192334.0,54088.0,681.1,3.54,210908.0,6973.7,33.07,857053.0,570.0,0.0,15764.0,1657.0,216678.0,1802.8,8.63,9977.0,331.8,33.26,331423.75,5891819.0
Maryland,2013,1395961.0,248554.0,22856.9,25.47,54874.0,183191.0,45290.0,620.7,3.39,211201.0,7215.5,34.16,847590.0,570.0,0.0,16477.0,1727.0,207422.0,1912.9,9.42,11389.0,375.0,32.92,337422.0,5938737.0
Maryland,2014,1400614.0,250058.0,22951.3,25.25,53814.0,201220.0,46194.0,595.2,2.96,210465.0,7464.6,35.47,878993.0,570.0,0.0,15364.0,1616.0,217440.0,2151.4,10.21,12185.0,432.2,35.47,350262.5,5976407.0
Massachusetts,2010,1416119.0,108868.0,24558.0,23.33,59866.0,83850.0,0.0,268.9,3.21,194905.0,8144.9,41.79,1107941.0,764.0,0.0,9720.0,996.0,447429.0,4170.3,9.4,9140.0,285.6,31.24,399270.25,6564073.0
Massachusetts,2011,1397164.0,103058.0,27485.1,26.1,59074.0,42963.0,0.0,160.0,3.72,189605.0,7842.4,41.36,1073354.0,962.0,0.0,11161.0,1149.0,464018.0,4159.7,9.06,10672.0,369.4,34.62,413672.75,6612270.0
Massachusetts,2012,1363282.0,110384.0,26511.6,26.85,57348.0,24036.0,0.0,90.4,3.76,188729.0,7626.7,40.41,982397.0,859.0,0.0,8683.0,912.0,430921.0,3407.9,7.98,9254.0,315.2,34.06,432256.25,6655829.0
Massachusetts,2013,1428433.0,102521.0,27681.7,26.5,60267.0,42208.0,0.0,179.5,4.25,188564.0,8019.9,42.53,1030817.0,859.0,0.0,9460.0,992.0,434893.0,4102.9,9.5,11098.0,363.7,32.77,438640.75,6708874.0
